,epoch,training_loss,testing_loss,training_IoU,testing_IoU
0,1,0.0141600506083184,0.011654728220639026,0.35591499841911706,0.18213166144200627
1,2,0.00975212965865393,0.010847793810941819,0.5127579164808338,0.1916031771762036
2,3,0.00868275302638476,0.010519020653916576,0.5518016330811297,0.20194688754162754
3,4,0.007923742711946772,0.009860851349491832,0.5801001738769367,0.20932277924362358
4,5,0.007550877093060597,0.010810242273544062,0.59727035240177,0.2134821348213482
5,6,0.007114403414716189,0.010839693528788523,0.6020596003521597,0.2096262341325811
6,7,0.006731044206315199,0.009857841053014824,0.6193206640454347,0.2300213882947696
7,8,0.006444911418130269,0.010691220751058267,0.6278178911977071,0.22189904297241508
8,9,0.006141565502747088,0.010709360188565768,0.6360272638753651,0.2222118872663008
9,10,0.005903616080916411,0.00958543242163022,0.646091576018214,0.24069202751922297
